vit_bits,qformer_bits,llm_bits,cider,meteor
7,6,4,1.0208929792846844,0.23791796389368583
6,3,6,1.212802940243195,0.2725237897747631
7,5,4,1.0370516854872192,0.2432540856116504
5,7,4,0.959081941183304,0.23101568021922864
2,5,8,0.006776321008129974,0.030185553783142416
2,5,6,0.010800692027131083,0.04060865822715376
16,4,16,1.2478711268998126,0.27290903952278184
3,2,5,0.9556618659385248,0.23265584250592575
2,6,8,0.011980639294584112,0.0449142809285116
2,7,3,0.002439013630685022,0.010983980651798102
16,7,3,0.224712676142666,0.09550132728490046
5,6,5,1.2006194007947442,0.2668471913148609
2,3,7,0.0036126575089534705,0.021112928515192413
8,4,16,1.242770845855084,0.2725318330777681
5,8,8,1.223414057406298,0.2696549936072608
8,16,4,1.005277270311129,0.24326983300339805
2,4,8,0.01142978681466688,0.03933140383517001
5,7,5,1.186071068714201,0.26800049335871723
16,4,3,0.1896608505984979,0.07362892497794374
6,4,3,0.17981728613899384,0.08187202490519027
4,6,6,1.2392733077705964,0.2762657683924261
7,6,3,0.07987009187911857,0.04662295766555241
6,3,5,1.134032414016971,0.25574838322867083
2,6,5,0.00869674640321851,0.029367450517907876
4,6,3,0.17878545490584336,0.08428054232362642
8,4,8,1.1820179109105813,0.2676394608254692
8,6,3,0.1709777779275192,0.07350865502379128
4,7,7,1.1636854976973123,0.26289919570983356
3,8,6,1.1317793439920232,0.2622039344269986
8,2,5,1.0034922635793084,0.2394012804880039
3,2,3,0.17631105418308113,0.07881916895460427
3,6,16,1.1717024307484611,0.26505120780105956
8,5,3,0.21270914955261008,0.09987112485305871
8,6,8,1.271895612162015,0.2734984798006242
5,16,7,1.2021506183099633,0.2708390962743312
16,6,8,1.231585705655647,0.273955994454751
7,3,5,1.180872255103929,0.2651440429738932
16,5,3,0.19429274210134123,0.08055564937530589
7,6,16,1.2419168454190808,0.27525330665179587
6,7,5,1.1684350157389969,0.26148330744814874
16,6,16,1.1586491973936648,0.2618383170640967
6,4,8,1.203447004630302,0.27096854968909756
8,7,6,1.1840161840314511,0.26956142496086555
2,5,3,0.0025550459238047793,0.01328932440849891
8,16,5,1.1943610368874242,0.26993793030296764
2,2,6,0.0030354149772694287,0.016329544242840142
6,16,7,1.2220770250819528,0.27046089179266875
7,2,4,0.9253276993503023,0.2281933718929868
8,3,5,1.1770236857652485,0.26597907681030253
3,6,4,0.9405291722030129,0.23175696986271788
3,5,16,1.1166852822134599,0.253529667887787
7,5,7,1.2175073789651472,0.27075747339047745
16,4,4,0.8468217150076025,0.21241946167377276
7,3,7,1.1670822710917634,0.26365443214119844
2,16,5,0.004612071739868022,0.02927563874831967
3,3,16,1.132292255681916,0.25731783981291645
7,7,3,0.18293895122122328,0.07939018692085195
4,3,5,1.1123560707245743,0.2557728900771275
4,16,16,1.1989707077013285,0.2687273635096571
4,16,8,1.1778373581612427,0.26366948585935546
7,3,4,0.9316434648593828,0.2248028817926027
5,2,4,0.9128057827967246,0.2289849494251449
4,6,8,1.1618218136847103,0.26769056682136655
4,8,4,1.0177291405119682,0.2361111023174682
16,7,7,1.2576968269117694,0.27285643849491015
16,2,8,1.1130401432170078,0.25684404166070385
4,5,16,1.2097532110432354,0.2709278637840276
8,5,5,1.2340727504936653,0.27005481239129014
2,5,16,0.0051073307313820055,0.03147908415943253
8,8,3,0.14228520721298638,0.06368163001290802
7,6,5,1.1820081959737552,0.2646278486053692
6,6,4,0.8930947614846669,0.21930325033304968
7,7,5,1.165784298399422,0.25721677503800916
8,2,7,1.1014715922197496,0.2554295257339779
16,5,4,0.9413785015728307,0.22713277756485925
16,5,16,1.1449582627752588,0.26322528080968294
8,8,6,1.2284112959393994,0.2760476559720744
2,2,7,0.0025668698698922856,0.011020423168213648
4,6,16,1.2299690158070715,0.2722348680601927
5,3,8,1.2275586465711035,0.2683749961933498
5,8,6,1.202570074300962,0.2715965898310001
4,5,4,0.9928843318818326,0.23458714563142058
3,16,16,1.1018880173653458,0.2543431309903181
7,5,8,1.2291754408666713,0.2718745072654312
8,16,16,1.222319305877811,0.26873784137221846
16,2,6,1.1005257115559481,0.257680425387034
6,6,16,1.2350612554176572,0.27432872845846257
6,7,8,1.1804167568816246,0.26723812402863345
8,2,4,0.8567531381164782,0.2126328289285691
3,3,4,0.8555236815607831,0.2149445122673331
4,3,4,0.9658588506696049,0.23133896413348787
7,7,7,1.241401176048452,0.2722458206275437
7,16,6,1.2264882918500986,0.2703046558414297
3,5,5,1.079244888608979,0.24702055656934302
2,16,3,0.002562607221740733,0.011999032135027864
5,2,3,0.2165226570684773,0.08710454677916973
3,8,3,0.21709814151674545,0.07952566060537997
5,16,3,0.15082635068431696,0.06528221074129748
2,7,6,0.004187148693303894,0.027266397684158294
16,16,4,0.9970359461494257,0.23670577625806588
2,3,8,0.007039247664862073,0.026490204019413575
3,3,6,1.148099214270454,0.25844989041796834
6,16,8,1.2024072390890814,0.2712589059297048
5,7,3,0.25550468393116194,0.10294515171816684
4,4,5,1.064529571365553,0.2470320558619711
5,5,7,1.1869321888382165,0.2676579568976495
3,16,8,1.159218653444308,0.2583456344178121
2,3,4,0.0018590175578755892,0.01680045066131213
6,8,8,1.21230174585923,0.2711115862468866
3,8,8,1.198123821990452,0.2734121132546192
7,4,6,1.2257011547489942,0.273594026958449
6,6,6,1.2232110342453228,0.2714712883914125
8,5,4,0.9710307282692725,0.2359895635004501
5,3,5,1.157947187501875,0.26575062567440005
6,5,5,1.1519794100031873,0.26325306964471484
4,2,6,1.0905237788855002,0.2557093725600452
5,8,3,0.15958293760466913,0.07426122695771982
7,4,7,1.236176449531025,0.27504153371951917
16,3,5,1.170622143120521,0.2660949396945497
16,16,16,1.204082654861252,0.2732587979152673
3,16,5,1.0424479291621664,0.24331570337788602
6,3,4,0.8297361824726199,0.21026926077387653
16,4,5,1.1864202796898224,0.264839292928929
16,8,3,0.13830724030615052,0.061179648127636724
4,7,16,1.2201137943609357,0.2728891807844822
4,2,3,0.107853308953933,0.0587030704460059
7,8,5,1.139536479246261,0.2584115280970096
4,8,8,1.1376532744999528,0.26023633644454075
16,6,7,1.2358388888930194,0.27320842447668886
7,8,4,0.9480400430209774,0.22870938014525508
6,7,4,1.0554319533068557,0.24401126253041935
2,5,5,0.005861769380248781,0.028807428365673547
5,4,5,1.2089247433808703,0.2659073412095775
6,2,16,0.9899235726230634,0.23435788558248005
7,8,3,0.2338981271629903,0.08861887662891405
5,16,8,1.2504827992538128,0.27615325315478334
16,6,3,0.08543416876449789,0.06636422567827123
16,7,8,1.2344344482293506,0.27228066766568065
3,5,7,1.1733191407050279,0.2697811686538955
5,5,8,1.2247690382770977,0.27304606030752493
5,8,4,0.9286498118978195,0.22615618567664145
6,2,3,0.17046708061650856,0.06870898608312344
8,5,16,1.2570078393285125,0.2728000178992855
4,3,8,1.2623600889788325,0.2787450915956347
5,6,7,1.1558882709844454,0.26475039915863646
16,4,8,1.1181780114585291,0.2562203946308231
2,7,4,0.004414437624974905,0.025953484323040624
3,4,3,0.17808129582051327,0.07414790555407128
7,5,16,1.1828776230311044,0.2689391431576329
4,5,8,1.1840129923018252,0.2687634359588921
7,16,3,0.19089407143441914,0.09070093534968952
4,4,6,1.2102845743724164,0.27064262990856863
2,4,3,0.0012702407280795291,0.007374002494035526
2,8,8,0.010169323982332605,0.039661767315437926
4,4,7,1.2020217637788508,0.2671504907791259
6,8,7,1.196685338421508,0.2696658834641076
7,7,16,1.2379668300701336,0.2736891023545228
5,16,16,1.192311591073823,0.26943244319038306
7,3,16,1.1640762633540294,0.2621688670800611
6,4,16,1.1816423770216555,0.265392647226198
7,4,5,1.1210583466708013,0.25761393514838443
4,2,7,1.166748462602317,0.26580150710136624
8,2,3,0.17929865853076732,0.07375521473305678
5,6,6,1.195257847925561,0.2684936712785205
2,4,5,0.003775388806318388,0.022039750763295455
3,3,8,1.1023284180088568,0.251760226051615
4,5,5,1.22736530478368,0.2711508362664911
8,16,6,1.1474747123354696,0.2629192273436857
6,7,16,1.2043693529469417,0.2677031829832452
8,7,3,0.12258098887453346,0.06744929763346434
2,8,4,0.003562579310605787,0.028716381082038493
6,16,4,0.8720587264171022,0.21534381960318288
2,7,5,0.00434351948311276,0.02615286093700514
5,7,16,1.1787467032981338,0.2699106833880589
4,7,4,0.9165061427547143,0.22451872546623772
3,2,16,1.0503642434792058,0.2525719457891249
4,3,7,1.2217093402495611,0.2716002004995171
16,5,7,1.2222815436533736,0.2694406662183629
5,6,3,0.20769402822257524,0.08281879586886512
2,16,4,0.007545326163218265,0.037745406862446956
3,2,4,0.7435859729333998,0.20038038606213132
3,3,5,1.1375354779064342,0.2564913130952467
6,6,7,1.1815803166222159,0.2647204432752614
5,3,7,1.2707460705325784,0.2778917398348947
4,7,8,1.2177800514996835,0.2666393244944598
6,8,16,1.2256504949775913,0.27237061577457755
2,3,16,0.0026838197937350686,0.018822347933381608
16,16,6,1.2421918731774717,0.27542263991189564
16,16,3,0.21463628437818572,0.08555986456303581
5,8,16,1.2037422091771472,0.26623421324752616
7,2,5,1.0316045545447667,0.24379967549654935
7,8,7,1.2316961191853544,0.27442614264610327
2,6,6,0.007857978393599262,0.03106697829786002
4,8,6,1.1752117336776347,0.25995323624187155
6,7,3,0.174732230504834,0.07450399858016389
3,6,8,1.1948539611615718,0.2685535767129971
8,16,8,1.1917130132453637,0.26842601703507685
2,7,16,0.0029726843980808757,0.021996984425321026
7,5,3,0.14254222969128405,0.057268582999905844
2,2,8,0.0030735740840323327,0.01593384803849329
2,7,7,0.005989114889377815,0.030650250475686567
5,5,4,0.9323524560420913,0.22773425601750805
7,4,8,1.2291973664802989,0.2716768445377813
3,5,4,0.9460161517985276,0.22719702061988867
2,8,6,0.007892707581582219,0.029129860763905707
7,4,16,1.2699707769410336,0.27735588459115734
16,3,6,1.1835066291271872,0.2675059409212252
5,8,5,1.2111247798585558,0.2674631142059365
6,6,5,1.2068774137802114,0.2649796351377491
3,4,4,0.9413754988940553,0.22988504473983298
5,2,5,1.028861448166121,0.24218222785246774
4,5,3,0.16508732200930126,0.07647122055826407
3,2,6,0.9900979258960908,0.24283956148679733
3,3,7,1.1259916712493478,0.26124426462904626
5,4,3,0.18072346967269404,0.07461412449483625
6,2,4,0.8987450927407257,0.2204599058293365
16,8,5,1.2052100960395609,0.26661474944549834
6,7,6,1.3116746859405015,0.284343158660314
5,2,7,1.0868847759147533,0.24952447332520553
8,4,4,0.9313286178586512,0.22410201841063906
4,16,3,0.12819284323293326,0.08272942903404962
4,3,6,1.1794193797983346,0.26765882923998413
3,7,6,1.1495293307394048,0.25969469514170157
6,6,8,1.2694081603725658,0.27812761471107184
6,8,6,1.233694649310816,0.2716406255483246
7,6,6,1.2279906199783797,0.27325366191036216
6,5,8,1.2578807851881026,0.27437191925822096
5,16,5,1.1319042816625422,0.25520719753966625
3,6,7,1.2081219126001308,0.2707627624006676
6,2,5,1.08753001165231,0.25217094396002054
8,7,5,1.103509702437675,0.2503175570706385
5,6,4,0.8301156370839514,0.21569312566643367
7,8,16,1.2238468094052424,0.27203219360997233
16,3,4,0.9249183005758419,0.22613942446600832
5,6,8,1.1832983838931983,0.2651613077624922
6,3,3,0.145781990722824,0.0657241045887942
2,2,5,0.002909721051847165,0.015589981109769639
3,5,3,0.16684257300099475,0.06953430811182805
16,7,6,1.1956600123012044,0.2725515939269699
8,6,7,1.2012101789343608,0.2726240080683363
8,6,4,0.8504220903021797,0.21256189338872067
4,3,3,0.13589769722176104,0.06041479724639859
5,4,16,1.225906340176104,0.27084384925530797
7,16,8,1.225464278869398,0.2706242260938302
5,8,7,1.2227444627419934,0.27364293705733594
7,2,6,1.1329806342607385,0.2606156034891746
3,7,5,1.0891566054150577,0.24932001701221435
6,2,8,1.1099596548903006,0.2598311053136787
4,2,16,1.083000643794271,0.2523615071882862
6,5,7,1.2470671527030857,0.27159561911949853
2,8,3,0.001977523536491026,0.01085626921285521
3,7,16,1.2167491806051263,0.26703248351586983
2,16,7,0.0071140644524548945,0.027795459738706795
3,16,6,1.1537201669852142,0.2630536959962511
8,4,7,1.2495219218432179,0.2759182589087557
2,6,16,0.008670659151602068,0.03898985620511293
16,16,7,1.2375228987700988,0.2734460153941674
3,7,4,0.7240441536600299,0.1970062958044801
3,8,5,1.0384376163419362,0.24365779233345067
4,4,4,1.0090488581719885,0.2390865681473539
4,3,16,1.1869865261348787,0.26891976540376955
5,5,3,0.1955785089978277,0.08749173321904313
6,3,8,1.2428391332397744,0.273512601638023
3,4,8,1.1108485242424908,0.2557713813971211
7,2,16,1.1126799899404909,0.2585905401299266
7,5,6,1.229207378610874,0.2744452122084377
3,2,8,1.0270025443927695,0.24832777625385755
4,7,3,0.2063856589963886,0.08163937094183199
7,16,5,1.2077185789853484,0.2716626569454359
2,16,6,0.006228207284632116,0.03327137846754246
16,3,7,1.2251305443461566,0.270637411183011
16,8,7,1.1993464653681145,0.271085807311084
4,5,6,1.260129423158903,0.27475179384884524
6,2,6,1.0917924665813956,0.2615788391450334
4,16,7,1.2635652372814536,0.2797749913422573
4,2,5,1.0854342491694076,0.25056092869268287
4,4,3,0.1376968990637526,0.06585866253959903
16,6,4,0.9292886965623748,0.22653327198150477
8,6,5,1.1905720632525285,0.2657040215767418
8,3,4,0.9863122460089555,0.23558747779869238
3,16,7,1.0981747640322346,0.25239861037375255
5,5,5,1.152766192237074,0.25844627403160475
7,16,16,1.1847660240581028,0.2660990617905922
6,8,5,1.200024231802605,0.2683625241050587
8,3,16,1.2033224350942384,0.2686609148293443
8,16,3,0.1563196457904491,0.07135908560309237
7,4,4,0.9263476265489226,0.23053256266469632
4,8,5,1.136284296118951,0.2603424081735628
6,8,3,0.14956743900943942,0.06468054756316684
7,5,5,1.13874686951824,0.2557620331428388
7,7,4,0.9918117653207981,0.23423260493593173
16,16,8,1.2279879334930202,0.2723981673958693
8,2,8,1.0920897759596704,0.2534110581462355
16,6,5,1.1593742644436358,0.2599035098953106
16,7,5,1.14377073893113,0.2583525972449989
7,6,8,1.2450764075334604,0.27704158006394797
3,4,7,1.1888011894279025,0.2649083418495246
3,16,3,0.18114811378445866,0.08309863489942342
8,2,16,1.080186176697299,0.2524231509889801
4,7,5,1.1302584095738581,0.2622265729359909
5,16,4,1.0232735437492297,0.2404317854904731
3,8,16,1.2134377823922557,0.2669032243726221
8,3,7,1.2298901264685953,0.27399695261735935
5,2,8,1.052917364386642,0.24693140572599623
4,8,7,1.1941423897240375,0.2724394622348405
8,8,5,1.1631882215550675,0.2611509041502507
6,16,6,1.1931721916471685,0.26767439337805526
4,16,4,0.8744929323158068,0.2174998009671489
3,4,16,1.2315916750788476,0.26999357297889465
8,4,3,0.19181312331096662,0.07900419689474122
5,16,6,1.1365122096337794,0.2624534094334289
5,4,7,1.231728583681874,0.2724649163253744
3,6,6,1.1845369820653993,0.26497949288801953
3,6,5,1.0639627730826708,0.24713279569500304
6,16,3,0.21599911351174417,0.08431735589978204
5,4,8,1.1874105693070511,0.266441057478906
5,3,6,1.1840085497272086,0.26701659326681726
16,4,7,1.1831315986385844,0.2689917363104334
2,4,6,0.005689623489769271,0.02947818637956884
16,16,5,1.1751902386696003,0.26378820239414247
7,7,8,1.2098878167446623,0.2655370120288739
7,16,7,1.1409979281342473,0.2598861049936764
2,3,3,0.0018951746387372043,0.010484268342473948
