config,bit_size,type,VIT_FIRST,VIT_MIDDLE,VIT_LAST,QFORMER_FIRST,QFORMER_MIDDLE,QFORMER_LAST,LLM_FIRST,LLM_MIDDLE,LLM_LAST,METEOR,CIDEr,quantized_size,compression_ratio
945,5,ATTENTION,1,1,0,1,1,1,1,1,1,0.2435294943697371,1.0593152267457362,90835051520,0.7580341734178053
298,8,MLP,1,0,1,1,1,1,1,1,1,0.2767973100032265,1.2725934348254613,68753758208,0.5737619718429254
1242,4,ATTENTION,0,0,0,0,0,0,1,1,1,0.2785208443350772,1.2852764152502318,96332480512,0.8039111666284742
257,16,BOTH,0,0,0,1,1,1,0,1,0,0.2785208443350772,1.2852764152502318,105530630144,0.880671311931317
905,5,MLP,0,0,0,0,0,0,1,0,0,0.1540290382350733,0.2427305743117234,105670525952,0.8818387665802367
872,5,MLP,1,1,1,1,0,0,0,0,0,0.11113121030875,0.0999463764073987,101603321984,0.8478972478998003
528,8,BOTH,1,1,1,0,0,0,0,0,0,0.2759807768880967,1.269533057921874,96200864768,0.802812810541894
112,16,ATTENTION,1,0,1,1,1,1,1,1,1,0.2785192837629469,1.2852131063914425,102647709696,0.8566128435068476
423,8,ATTENTION,1,1,1,1,0,1,0,0,0,0.2777725908052835,1.2765035954976804,111948271616,0.9342276370185353
200,16,BOTH,0,0,1,0,0,0,0,0,0,0.2785192837629469,1.2852131063914425,114578892800,0.9561806245648653
1489,3,ATTENTION,0,0,0,1,1,1,0,0,0,0.2711174571640236,1.2309171925065152,119007119360,0.9931349390497015
1087,5,BOTH,0,0,0,1,1,1,0,0,0,0.2776623289642982,1.2825037584404828,119063853056,0.9936083915290324
918,5,MLP,1,1,1,1,1,1,1,0,1,0.0278857654706347,0.0045313112390611,71868934784,0.5997586577182974
1094,5,BOTH,0,0,0,1,1,1,0,1,0,0.2743095090574592,1.2593098999711425,95699979776,0.7986328388840973
558,6,MLP,0,0,0,1,1,1,1,1,1,0.2486965220179468,1.1075143853450542,76198346752,0.6358883473879889
726,6,ATTENTION,0,0,0,1,1,1,0,0,1,0.2786443321169212,1.28441429844489,111591972864,0.9312542624737689
155,16,ATTENTION,1,1,1,1,1,1,0,0,0,0.2785192837629469,1.2852131063914425,114424143872,0.9548892180674744
1349,4,BOTH,1,1,1,1,1,0,0,0,0,0.0,0.0,91733201408,0.7655293891584544
1407,3,MLP,0,0,1,1,1,1,0,0,0,0.0159193998604326,0.0076316249665977,113304243840,0.9455434591246198
611,6,MLP,0,0,0,1,0,1,0,0,0,0.2785208443350772,1.2852764152502318,119829757952,1.0
207,16,BOTH,1,0,1,0,0,0,1,1,1,0.2785271331383665,1.2852207375047249,69050912768,0.5762417779034453
916,5,MLP,0,0,0,1,1,1,1,1,0,0.1546805814281058,0.2118034503972516,90095370752,0.7518614098184973
703,6,ATTENTION,0,0,0,1,0,1,1,1,1,0.2791184606302948,1.2927169208854412,97519165440,0.8138142570484294
230,16,BOTH,0,0,0,0,0,1,1,1,1,0.2785271331383665,1.2852207375047249,79401353216,0.6626179888288322
868,5,MLP,1,1,1,0,0,0,1,1,1,0.0249105318323768,0.0021021272331236,56293779584,0.4697813009565579
1226,4,ATTENTION,1,1,0,0,0,0,1,1,1,0.1556437845513218,0.4047799146029718,90555445248,0.7557008108476163
1393,4,BOTH,0,0,0,1,1,1,1,1,1,0.0026716636672294,0.0013694913480875,48550535168,0.4051625906433676
1052,5,BOTH,1,1,1,0,0,0,1,1,1,0.0172137427767065,0.0006018312085335,25279621760,0.21096280416527433
1447,3,MLP,0,0,0,1,0,1,1,1,1,0.0,0.0,71163953152,0.5938754643942953
555,8,BOTH,1,1,1,0,0,0,1,1,1,0.2747219456910426,1.2682233929175837,35785192448,0.29863360370246606
576,6,MLP,1,1,0,0,0,0,0,0,0,0.2588550269206232,1.1624618534252775,108128836096,0.9023537887751804
585,6,MLP,1,1,1,1,1,1,1,1,1,0.2236076762802787,0.9456258451329648,58646963968,0.48941903055075947
621,6,MLP,1,1,1,0,0,0,0,0,0,0.2483844758969919,1.0891186992901516,102278375168,0.8535306831627706
1158,4,MLP,1,1,1,0,0,1,1,1,1,0.0,0.0,53940595200,0.45014357136235633
764,6,BOTH,1,0,1,1,1,1,0,0,0,0.240436794577512,1.043376350520733,102026908160,0.8514321476045102
543,8,BOTH,1,1,1,0,0,0,1,1,0,0.2765008286314359,1.2744570646126427,56553079808,0.4719452060535194
366,8,MLP,0,0,0,1,1,1,0,1,1,0.2776658178481052,1.2798128154931665,92140593152,0.7689291435346852
1042,5,BOTH,1,0,1,1,1,1,1,1,1,0.0319268967061378,0.0080077286748996,33374551808,0.27851639174109644
917,5,MLP,0,0,0,0,0,0,1,1,0,0.1546805814281058,0.2118034503972516,90095370752,0.7518614098184973
246,16,BOTH,0,0,0,1,1,1,1,1,1,0.2785271331383665,1.2852207375047249,79098773504,0.6600929089390672
579,6,MLP,1,0,1,0,0,0,1,1,1,0.2176335059100928,0.9108439119776628,64497424896,0.5382421361631693
835,6,BOTH,0,0,0,1,1,1,1,1,1,0.2501607002845491,1.1172199964203238,53641908224,0.4476509770259842
293,8,MLP,0,0,1,0,0,0,0,0,0,0.27845807397681,1.2866668110083783,114429332480,0.9549325178962371
414,8,ATTENTION,1,1,1,0,0,1,1,1,1,0.2777843184359699,1.2760573780551427,92034682880,0.7680453040459797
830,6,BOTH,1,1,1,0,0,0,0,1,1,0.2316820713597287,0.983631018354948,49234701056,0.4108720729931029
869,5,MLP,1,1,1,0,0,0,0,0,0,0.11113121030875,0.0999463764073987,101603321984,0.8478972478998003
297,8,MLP,1,1,0,0,0,0,0,0,0,0.2770278597497965,1.2817934998921003,109028907008,0.9098650357924742
495,8,BOTH,1,1,1,0,0,0,0,0,0,0.2759807768880967,1.269533057921874,96200864768,0.802812810541894
1073,5,BOTH,1,1,1,1,0,1,1,1,1,0.0161715870028708,0.0006148505765077,24769018496,0.20670173185129592
982,5,ATTENTION,0,0,0,1,0,1,1,1,1,0.2778559577028642,1.2823189923574747,96661065728,0.8066532669349075
1263,4,ATTENTION,1,1,1,0,1,1,1,1,1,0.0700324352603631,0.0318076185825529,87137413120,0.7271767431500987
1105,5,BOTH,1,1,1,0,0,0,1,0,1,0.0120555676811156,0.000665073348755,48643495040,0.4059383568102094
739,6,ATTENTION,0,0,0,0,0,0,0,1,1,0.2785208443350772,1.2852764152502318,104829263872,0.874818289410142
738,6,ATTENTION,0,0,0,1,1,1,0,1,1,0.2786443321169212,1.28441429844489,104091725824,0.8686634071788398
448,8,ATTENTION,0,0,0,0,0,0,0,0,1,0.2785208443350772,1.2852764152502318,112906452992,0.942223825881604
971,5,ATTENTION,0,0,0,0,1,0,0,0,0,0.2787705319648733,1.285788937470552,119574456320,0.9978694638430108
862,5,MLP,0,1,1,0,0,0,1,1,1,0.0254471853019719,0.0017837448878,62369258240,0.5204822183232912
547,8,BOTH,1,1,1,0,0,0,1,0,1,0.2759984937375281,1.2691749518883422,56553079808,0.4719452060535194
493,8,BOTH,1,1,1,1,1,1,0,0,0,0.2757190157109501,1.267514579489813,95520060416,0.7971313807899228
129,16,ATTENTION,0,0,0,1,0,0,1,1,1,0.2785208443350772,1.2852764152502318,106251452416,0.8866866981285313
4,16,MLP,1,0,0,1,1,1,0,0,0,0.2785192837629469,1.2852131063914425,116229474304,0.9699550119308248
425,8,ATTENTION,0,0,0,1,0,1,0,0,0,0.2788769036379039,1.286010791033107,119375888384,0.9962123801653525
21,16,MLP,1,0,1,0,0,0,1,1,1,0.2785271331383665,1.2852207375047249,85779091456,0.7158413145619503
275,16,BOTH,1,1,1,1,1,1,1,1,1,0.2785208443350772,1.2852764152502318,63346178048,0.5286347826336633
761,6,BOTH,1,1,0,0,0,0,1,1,1,0.2164566832862588,0.8980877449248724,37314134528,0.3113928890930987
335,8,MLP,0,0,0,0,1,1,1,1,1,0.2782263035104425,1.27793685233323,79554609152,0.6638969360504513
883,5,MLP,1,1,1,1,1,0,1,1,1,0.0249105318323768,0.0021021272331236,56293779584,0.4697813009565579
327,8,MLP,0,0,0,1,1,0,1,1,1,0.2782263035104425,1.27793685233323,79554609152,0.6638969360504513
408,8,ATTENTION,0,0,0,1,0,0,1,1,1,0.2786750863470953,1.286455253756982,99462299648,0.8300300471927969
1051,5,BOTH,1,1,1,1,1,1,0,0,0,0.0813318190845732,0.0299603997468519,92481348224,0.7717728033886633
1037,5,BOTH,0,0,1,0,0,0,0,0,0,0.1829866570783202,0.4592460685967142,110968923008,0.9260548039532103
8,16,MLP,0,1,0,1,1,1,0,0,0,0.2785208443350772,1.2852764152502318,116229474304,0.9699550119308248
216,16,BOTH,1,1,1,0,0,0,0,0,0,0.2785192837629469,1.2852131063914425,104077162496,0.868541873694596
