vit_bits,qformer_bits,llm_bits,METEOR,CIDEr,model_size
5,3,3,0.20919428953205838,0.7879097938908757,21303242368
5,3,4,0.26359356710436166,1.1485486724193579,23820562048
5,3,5,0.26684549637944127,1.1764723409323512,26337881728
5,3,6,0.2730030358969137,1.2155479022667492,28855201408
5,3,8,0.2736482751434616,1.2161199154649738,33889840768
5,3,16,0.2742002799959992,1.2207863371539902,54028398208
5,4,2,0.0383106603039449,0.004182410951920071,18891012736
5,4,3,0.20945680883980095,0.7941648429911843,21408332416
5,4,4,0.2681996749926065,1.1692669018889825,23925652096
5,4,5,0.271236873072046,1.1960020285283905,26442971776
5,4,6,0.2795632422324446,1.249905599427292,28960291456
5,4,8,0.2807453214549563,1.2512046604157983,33994930816
5,4,16,0.2821228770619992,1.2581493339973435,54133488256
5,5,2,0.038812903989368874,0.004414734647868175,18996102784
5,5,3,0.20827855506579382,0.7886177826050037,21513422464
5,5,4,0.2657672271375958,1.1574830881644504,24030742144
5,5,5,0.270453762144429,1.1903072050381271,26548061824
5,5,6,0.2785285750157541,1.248833370994669,29065381504
5,5,8,0.27973573483009506,1.2505910698213745,34100020864
5,5,16,0.28100653715595897,1.2559031668672331,54238578304
5,6,2,0.03937630053597519,0.004761893448042619,19101192832
5,6,3,0.20881127024669635,0.7933442754900087,21618512512
5,6,4,0.2660535139642068,1.1612856969921397,24135832192
5,6,5,0.26956692669777055,1.1875149732346562,26653151872
5,6,6,0.2783926218102539,1.2446303376282275,29170471552
5,6,8,0.2794284812688384,1.247600525639272,34205110912
5,6,16,0.2805120454493048,1.252184355894695,54343668352
5,8,2,0.0392876594512647,0.004715707717172699,19311372928
5,8,3,0.20505358929816234,0.7715007986326152,21828692608
5,8,4,0.26715058027909827,1.167161012774189,24346012288
5,8,5,0.2700647922767295,1.189471154011835,26863331968
5,8,6,0.2791323330204765,1.2486870632772915,29380651648
5,8,8,0.28043141176226755,1.2538222735773836,34415291008
5,8,16,0.28147200907029796,1.2590312903179968,54553848448
5,16,2,0.03935728728751011,0.004699991121996324,20152093312
5,16,3,0.20857656444229464,0.7910105903131062,22669412992
5,16,4,0.26650447697030605,1.1645621691200578,25186732672
5,16,5,0.269994073154192,1.1891130623911599,27704052352
5,16,6,0.27947041159223907,1.2499655271501364,30221372032
5,16,8,0.2800480375813525,1.250759578071996,35256011392
5,16,16,0.28148906254024053,1.2574020173423825,55394568832
6,2,2,0.033689045247177904,0.002135514876681239,19665369856
6,2,3,0.1995702866972476,0.7264676632473416,22182689536
6,2,4,0.2475822019731219,1.0232920884230814,24700009216
6,2,5,0.2529732771470224,1.0704198052787794,27217328896
6,2,6,0.2598567516851389,1.1160500908441646,29734648576
6,2,8,0.2592645753079949,1.1131496180075628,34769287936
6,2,16,0.25979623972425103,1.1176110659095753,54907845376
6,3,2,0.03886168980413313,0.005116810542135994,19770459904
6,3,3,0.20894836040125647,0.78766789683324,22287779584
6,3,4,0.2631136294006772,1.1458078798333984,24805099264
6,3,5,0.26602992622951516,1.1743586936521027,27322418944
6,3,6,0.2734671202303975,1.2184402901688431,29839738624
6,3,8,0.27393127108089294,1.213608212193691,34874377984
6,3,16,0.27548844448051657,1.2253157599692892,55012935424
6,4,2,0.03881370840278316,0.004372741260313818,19875549952
6,4,3,0.2079392854106619,0.7863488675261142,22392869632
6,4,4,0.26577511268863374,1.154364944176871,24910189312
6,4,5,0.2694405705313831,1.1868886054730516,27427508992
6,4,6,0.27871376274464843,1.2440943544657643,29944828672
6,4,8,0.2799813598846214,1.2469043049851019,34979468032
6,4,16,0.28039466173437994,1.2495600801266238,55118025472
6,5,2,0.03915732687638075,0.004528508012128144,19980640000
6,5,3,0.20672796264015827,0.7822532071076522,22497959680
6,5,4,0.26466748384828653,1.1466218886814121,25015279360
6,5,5,0.2692422909529576,1.182464151264467,27532599040
6,5,6,0.27770066951734496,1.239097227163636,30049918720
6,5,8,0.2782405905869657,1.2374097592485436,35084558080
6,5,16,0.279889958988931,1.2451443958139716,55223115520
6,6,2,0.03974397974387037,0.0047738714292881795,20085730048
6,6,3,0.2076556413002826,0.7869627504029372,22603049728
6,6,4,0.2645534527788851,1.1448253129962436,25120369408
6,6,5,0.2693868110143037,1.1849927369299327,27637689088
6,6,6,0.2769359695011477,1.2359611482185155,30155008768
6,6,8,0.2774697283891806,1.2345152710805227,35189648128
6,6,16,0.2791530049253948,1.2410981814756032,55328205568
6,8,2,0.03950222184763547,0.004710927469749527,20295910144
6,8,3,0.20714260422318853,0.7831441749206127,22813229824
6,8,4,0.26569207939692235,1.1532797092887275,25330549504
6,8,5,0.2694899075089131,1.1870631294646565,27847869184
6,8,6,0.27772646142003016,1.2378950190538096,30365188864
6,8,8,0.27826385994290326,1.2396680301427143,35399828224
6,8,16,0.2795140452687747,1.2464283971977719,55538385664
6,16,2,0.03954398606318085,0.00471070789410733,21136630528
6,16,3,0.20722071899092814,0.7846150320891636,23653950208
6,16,4,0.2655337977316027,1.151739526032029,26171269888
6,16,5,0.2697323199765623,1.1888011112017192,28688589568
6,16,6,0.2778688652580702,1.2381501818428504,31205909248
6,16,8,0.2783466182494372,1.2406648192914698,36240548608
6,16,16,0.2795925000876874,1.2469064852182756,56379106048
8,2,2,0.0344184962623263,0.0020926826069756223,21634444288
8,2,3,0.19717382514919235,0.7116309448572241,24151763968
8,2,4,0.24669864044450215,1.0096640742263971,26669083648
8,2,5,0.2504880541245433,1.051832240994192,29186403328
8,2,6,0.25848988087002034,1.1031148303323675,31703723008
8,2,8,0.2581235372562963,1.0996036917317866,36738362368
8,2,16,0.25851087051156696,1.1026112693765862,56876919808
8,3,2,0.03886992764461106,0.00527665016687497,21739534336
8,3,3,0.20474475574756268,0.7587296632897987,24256854016
8,3,4,0.26041139847619543,1.1278018779745882,26774173696
8,3,5,0.2637886450865388,1.1535606055527943,29291493376
8,3,6,0.2702609965385433,1.1953810071788358,31808813056
8,3,8,0.2710305582860595,1.1949338492083719,36843452416
8,3,16,0.2724762395803599,1.2026468908277965,56982009856
8,4,2,0.038960864382997014,0.004082857671826092,21844624384
8,4,3,0.20461539027052877,0.760952128204789,24361944064
8,4,4,0.2637425407875613,1.1428027133910008,26879263744
8,4,5,0.2682072256800668,1.1751184948781388,29396583424
8,4,6,0.2754944544086485,1.222517587510634,31913903104
8,4,8,0.27624204160350824,1.2236798072660213,36948542464
8,4,16,0.27704278070614685,1.2239900971983946,57087099904
8,5,2,0.03893135030367744,0.004346702386261458,21949714432
8,5,3,0.20336768009167425,0.7570584897619376,24467034112
8,5,4,0.26169397783359366,1.1319068641144796,26984353792
8,5,5,0.2672903069142515,1.1726682788050742,29501673472
8,5,6,0.2750725549338091,1.2251675741742547,32018993152
8,5,8,0.2755511614969632,1.2213806795583368,37053632512
8,5,16,0.27644192316048954,1.2248409116679573,57192189952
8,6,2,0.03960992968666858,0.0046426558906571165,22054804480
8,6,3,0.20509843285659402,0.7657076774627696,24572124160
8,6,4,0.26235259118565024,1.135895470847944,27089443840
8,6,5,0.2673520382984019,1.1721543852482914,29606763520
8,6,6,0.2750965863700415,1.2232652165288425,32124083200
8,6,8,0.2748874626975029,1.217991990088048,37158722560
8,6,16,0.27618632109382835,1.2256323022273348,57297280000
8,8,2,0.039621741979294495,0.004641359059321113,22264984576
8,8,3,0.20420840408325575,0.7609812697499186,24782304256
8,8,4,0.2629765025163644,1.1398554135838508,27299623936
8,8,5,0.2677249093127373,1.1744269293359073,29816943616
8,8,6,0.2753843775356539,1.2246538612050695,32334263296
8,8,8,0.27573558703942475,1.2223636948702057,37368902656
8,8,16,0.27710555751369514,1.2289172931774284,57507460096
8,16,2,0.03954255419394073,0.004702792715368278,23105704960
8,16,3,0.20421498189194914,0.7611484990145555,25623024640
8,16,4,0.2629573909208676,1.1390067988226158,28140344320
8,16,5,0.2677163506866694,1.1752137486977983,30657664000
8,16,6,0.2754273250795791,1.224003727431766,33174983680
8,16,8,0.2756801593566381,1.221797226097161,38209623040
8,16,16,0.2769747471271154,1.2286821685059492,58348180480
16,2,2,0.03397363194774226,0.002116580094303056,29510742016
16,2,3,0.19975265550071775,0.7274376374824795,32028061696
16,2,4,0.24856422239386056,1.0252398540053982,34545381376
16,2,5,0.2530323290592932,1.0706442589700385,37062701056
16,2,6,0.2602453575218017,1.1196220237774295,39580020736
16,2,8,0.26002046752749525,1.1172477652537727,44614660096
16,2,16,0.26060486267934874,1.1214114229504835,64753217536
16,3,2,0.03867871996288693,0.0050311480090812315,29615832064
16,3,3,0.20985452742306104,0.7920462665699586,32133151744
16,3,4,0.2636281741650799,1.1504623141490604,34650471424
16,3,5,0.26694422153877856,1.1773655292386453,37167791104
16,3,6,0.27403367873791135,1.2227150746235125,39685110784
16,3,8,0.27462384815130203,1.2225423326577731,44719750144
16,3,16,0.27600821574598505,1.2288258774986203,64858307584
16,4,2,0.038567322448854933,0.004301490966441779,29720922112
16,4,3,0.20969386118044714,0.7959052930969952,32238241792
16,4,4,0.2667684943363454,1.1621039256838672,34755561472
16,4,5,0.2711871713179565,1.196929399809687,37272881152
16,4,6,0.279923563615494,1.253046170170458,39790200832
16,4,8,0.28139842107549934,1.256735727756202,44824840192
16,4,16,0.28219241680364565,1.2609753126243561,64963397632
16,5,2,0.03912346101002547,0.0043702656502771576,29826012160
16,5,3,0.2079609378623707,0.7879401066468005,32343331840
16,5,4,0.2656879108724494,1.1556677145197873,34860651520
16,5,5,0.269967086318697,1.1893109363512375,37377971200
16,5,6,0.2787494875664804,1.245958819839066,39895290880
16,5,8,0.27949801793201345,1.2457846506159767,44929930240
16,5,16,0.28069307628564694,1.2528649424602132,65068487680
16,6,2,0.039684002166362545,0.004644940031994874,29931102208
16,6,3,0.2085110100872384,0.7919767269675149,32448421888
16,6,4,0.26570523625178344,1.1567217842367485,34965741568
16,6,5,0.27054993547141293,1.1935809173708705,37483061248
16,6,6,0.2782112952274305,1.2420703577665526,40000380928
16,6,8,0.27944128130410667,1.2436823085127202,45035020288
16,6,16,0.2810511926614303,1.2516247225738375,65173577728
16,8,2,0.03968199177932108,0.00458078299074695,30141282304
16,8,3,0.20820295178369366,0.7895426734487146,32658601984
16,8,4,0.26662869456601357,1.164603641736421,35175921664
16,8,5,0.27073700933850925,1.193852243546073,37693241344
16,8,6,0.27883645953844804,1.2451381600762323,40210561024
16,8,8,0.28022910967278475,1.2495830587956385,45245200384
16,8,16,0.2811955411594185,1.253045592341763,65383757824
16,16,2,0.039602095057516065,0.004599127353840183,30982002688
16,16,3,0.20801327394510427,0.7887153055212033,33499322368
16,16,4,0.26641324792044385,1.1638367480835288,36016642048
16,16,5,0.27086551011189425,1.1950595426281183,38533961728
16,16,6,0.27898890725873554,1.2452834367954881,41051281408
16,16,8,0.280146845145009,1.2493832157443017,46085920768
16,16,16,0.28128207621616275,1.2541976582736079,66224478208
